#-----------------------------------------------------------------------------#
~~~~~~                 3D EASYCAE @ VINIICUS CAMPOS, 2021               ~~~~~~~
~~~~~~    Mechanical studY Finite Element Method in PYthon - MYFEMPY    ~~~~~~~
~~~~~~ MODULO DE SIMULACAO ESTRUTURAL PELO METODO DOS ELEMENTOS FINITOS ~~~~~~~
~~~~~~                      ARQUIVO DE SAIDA DE DADOS                   ~~~~~~~
#-----------------------------------------------------------------------------#


Number of Nodes in Solution Mesh: 150 

Number of Elements in Solution Mesh: 150 

Coord. Nodes ListNode	   CoordX	   CoordY	   CoordZ	
 1.0	0.0	0.0	0.0
 2.0	1000.0	0.0	0.0
 3.0	0.0	1000.0	0.0
 4.0	19.99999999998992	0.0	0.0
 5.0	39.99999999997797	0.0	0.0
 6.0	59.99999999995786	0.0	0.0
 7.0	79.99999999995798	0.0	0.0
 8.0	99.99999999996537	0.0	0.0
 9.0	119.9999999999717	0.0	0.0
 10.0	139.9999999999431	0.0	0.0
 11.0	159.9999999998936	0.0	0.0
 12.0	179.9999999998441	0.0	0.0
 13.0	199.9999999997947	0.0	0.0
 14.0	219.9999999997452	0.0	0.0
 15.0	239.9999999996957	0.0	0.0
 16.0	259.9999999996635	0.0	0.0
 17.0	279.999999999671	0.0	0.0
 18.0	299.9999999996784	0.0	0.0
 19.0	319.9999999996858	0.0	0.0
 20.0	339.9999999996932	0.0	0.0
 21.0	359.9999999997005	0.0	0.0
 22.0	379.9999999997079	0.0	0.0
 23.0	399.9999999997153	0.0	0.0
 24.0	419.9999999997227	0.0	0.0
 25.0	439.9999999997301	0.0	0.0
 26.0	459.9999999997374	0.0	0.0
 27.0	479.9999999997448	0.0	0.0
 28.0	499.9999999997633	0.0	0.0
 29.0	519.9999999998261	0.0	0.0
 30.0	539.9999999998333	0.0	0.0
 31.0	559.9999999998406	0.0	0.0
 32.0	579.9999999998479	0.0	0.0
 33.0	599.999999999855	0.0	0.0
 34.0	619.9999999998623	0.0	0.0
 35.0	639.9999999998696	0.0	0.0
 36.0	659.9999999998768	0.0	0.0
 37.0	679.999999999884	0.0	0.0
 38.0	699.9999999998913	0.0	0.0
 39.0	719.9999999998985	0.0	0.0
 40.0	739.9999999999058	0.0	0.0
 41.0	759.999999999913	0.0	0.0
 42.0	779.9999999999203	0.0	0.0
 43.0	799.9999999999276	0.0	0.0
 44.0	819.9999999999347	0.0	0.0
 45.0	839.999999999942	0.0	0.0
 46.0	859.9999999999493	0.0	0.0
 47.0	879.9999999999565	0.0	0.0
 48.0	899.9999999999637	0.0	0.0
 49.0	919.9999999999709	0.0	0.0
 50.0	939.9999999999782	0.0	0.0
 51.0	959.9999999999854	0.0	0.0
 52.0	979.9999999999927	0.0	0.0
 53.0	980.0000000000058	19.99999999999421	0.0
 54.0	960.0000000000125	39.99999999998747	0.0
 55.0	940.0000000000233	59.99999999997668	0.0
 56.0	920.000000000024	79.99999999997598	0.0
 57.0	900.000000000021	99.99999999997893	0.0
 58.0	880.0000000000186	119.9999999999814	0.0
 59.0	860.0000000000337	139.9999999999663	0.0
 60.0	840.0000000000591	159.9999999999409	0.0
 61.0	820.0000000000846	179.9999999999154	0.0
 62.0	800.00000000011	199.99999999989	0.0
 63.0	780.0000000001355	219.9999999998645	0.0
 64.0	760.000000000161	239.9999999998391	0.0
 65.0	740.0000000001778	259.9999999998222	0.0
 66.0	720.0000000001749	279.9999999998251	0.0
 67.0	700.000000000172	299.999999999828	0.0
 68.0	680.000000000169	319.9999999998309	0.0
 69.0	660.0000000001662	339.9999999998338	0.0
 70.0	640.0000000001633	359.9999999998367	0.0
 71.0	620.0000000001603	379.9999999998396	0.0
 72.0	600.0000000001575	399.9999999998425	0.0
 73.0	580.0000000001546	419.9999999998454	0.0
 74.0	560.0000000001517	439.9999999998484	0.0
 75.0	540.0000000001487	459.9999999998512	0.0
 76.0	520.0000000001459	479.9999999998541	0.0
 77.0	500.0000000001318	499.9999999998682	0.0
 78.0	480.0000000000732	519.9999999999268	0.0
 79.0	460.0000000000703	539.9999999999297	0.0
 80.0	440.0000000000671	559.9999999999329	0.0
 81.0	420.000000000064	579.999999999936	0.0
 82.0	400.0000000000609	599.9999999999391	0.0
 83.0	380.000000000058	619.999999999942	0.0
 84.0	360.0000000000549	639.9999999999451	0.0
 85.0	340.000000000052	659.999999999948	0.0
 86.0	320.0000000000489	679.9999999999511	0.0
 87.0	300.0000000000458	699.9999999999542	0.0
 88.0	280.0000000000427	719.9999999999573	0.0
 89.0	260.0000000000397	739.9999999999603	0.0
 90.0	240.0000000000366	759.9999999999634	0.0
 91.0	220.0000000000337	779.9999999999663	0.0
 92.0	200.0000000000306	799.9999999999694	0.0
 93.0	180.0000000000275	819.9999999999725	0.0
 94.0	160.0000000000244	839.9999999999756	0.0
 95.0	140.0000000000215	859.9999999999785	0.0
 96.0	120.0000000000183	879.9999999999817	0.0
 97.0	100.0000000000153	899.9999999999847	0.0
 98.0	80.00000000001228	919.9999999999877	0.0
 99.0	60.00000000000921	939.9999999999908	0.0
 100.0	40.00000000000614	959.9999999999939	0.0
 101.0	20.00000000000318	979.9999999999968	0.0
 102.0	0.0	980.0000000000014	0.0
 103.0	0.0	960.0000000000026	0.0
 104.0	0.0	940.000000000004	0.0
 105.0	0.0	920.0000000000052	0.0
 106.0	0.0	900.0000000000066	0.0
 107.0	0.0	880.0000000000078	0.0
 108.0	0.0	860.0000000000092	0.0
 109.0	0.0	840.0000000000106	0.0
 110.0	0.0	820.0000000000118	0.0
 111.0	0.0	800.0000000000132	0.0
